Injection_Temperature,Injection_Pressure,Cycle_Time,Cooling_Time,Material_Viscosity,Ambient_Temperature,Machine_Age,Operator_Experience,Maintenance_Hours,Machine_Utilization,Temperature_Pressure_Ratio,Total_Cycle_Time,Efficiency_Score,Parts_Per_Hour,Shift_Evening,Shift_Morning,Shift_Night,Machine_Type_Type_A,Machine_Type_Type_B,Machine_Type_Type_C,Material_Grade_Grade_1,Material_Grade_Grade_2,Material_Grade_Grade_3,Day_of_Week_Friday,Day_of_Week_Monday,Day_of_Week_Saturday,Day_of_Week_Sunday,Day_of_Week_Thursday,Day_of_Week_Tuesday,Day_of_Week_Wednesday
1.0870740954930618,0.12029754869635093,1.611707776540096,1.2569988194068218,0.735744398072083,-0.25346135935784125,0.6868261650174532,1.0595482415258441,-0.27503912953468124,-1.4998926576208653,0.32609093510406023,0.05096043158601147,0.33448222094250524,104,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
0.21322210866466568,-0.5946897350690984,-1.4621547079073522,0.8087801128818445,1.3282096677037296,-1.1460038661748506,-0.6000536944906227,-1.3559270611661522,-0.9888553616935599,-1.68140255059428,-1.1839884622043237,-0.5123541188888756,0.7527423308550754,110,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
-1.5508093377751397,0.32325701195901774,-0.38569065045823686,-0.9976952456632356,-0.02777779080475226,-0.2722858926026912,0.5029861850877281,1.301095771795044,2.685622725661076,-1.3434102820306115,-0.8372880832551783,-1.2021571402172655,-0.6157734180326266,81,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
0.1910541138388654,-0.25273242854355593,0.9254245289291364,0.31617764600487935,-1.044612235613733,0.20544355375487755,-0.4162137145608976,1.0595482415258441,0.19236149115478438,1.025054807258317,-0.8538124815239198,0.47393465965623927,0.5436165519401138,95,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
1.419308758663009,0.7393322816630169,-1.2949284636992402,1.9031267593987369,1.0910222010317978,0.04736561888724805,-0.967733654350073,1.301095771795044,0.8770420538997402,1.604853072706692,2.129014714009604,0.8776712868105268,-0.9268260297482082,141,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
-0.5481591928075066,-0.20096427166870184,1.3418890399023065,-1.844507323166366,0.7312831102195582,0.304450195615464,0.31914620515800296,-0.14818940982015402,0.5528342547374074,-0.2268103871557103,-0.160657915763209,-1.3259190457535839,-0.9721387724593924,85,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0.5326795914606984,-1.2561249298019326,0.9109081491171452,-0.22630430636762297,1.3480019182100558,-0.5492066889560536,0.5029861850877281,1.4218695369296437,0.20490397686402737,0.06695261874196413,-0.0632688271059841,1.1902882188769213,0.7033543020033233,67,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
-0.9204164618091785,0.30738669366344096,0.2817716516857109,1.1131569345304524,0.3136536814066704,0.2917956699118829,0.6868261650174532,0.5764531809874449,-0.22505439861762286,-1.1868018773434248,-0.07414051938793036,-0.06726932930123407,0.013615396393412277,123,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
-0.20503051280917337,0.26963977615328905,-0.5040254158045038,-0.15452936302449352,-0.5115265331369863,0.09502362438182889,1.4221860847363539,-1.3559270611661522,-2.8983711936057017,-0.03672899880197245,1.5245273425746282,-1.2324300095700316,0.59116513256358,145,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
1.0263775420798413,-1.0465906447333793,-1.4251467014207055,0.7634788558321789,0.5443516791747947,0.10310744760964556,-1.1515736342797982,1.5426433020642436,-1.0920705702181752,-1.1943184149898534,-1.5802429760732253,-0.8211253378691371,-0.8852947742424239,67,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
0.15237446423027895,0.79303528099288,0.7231126350353566,1.3581181434695682,0.3504141330462656,0.007586126367072666,1.4221860847363539,-0.14818940982015402,0.35282971213555964,0.4046257206617035,-0.05692743390689166,-0.9169605109860898,0.28950246237259764,61,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
1.2265905450909875,0.7404928609650391,2.7932812631912447,0.1900945372655452,-0.5667655419933469,2.1434629528829805,-0.6000536944906227,1.301095771795044,-2.81032598758575,1.508302703398431,-1.589435831308015,-0.8990082247859147,-0.262744327870797,121,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
0.35924978882757,-0.8345169303640416,0.15410664766648047,0.4649232159740307,0.22045976057155078,1.0814042650433153,0.8706661449471784,-1.3559270611661522,0.08560842482790776,-1.0193869498638886,-2.3318543614774834,0.610200405045812,0.28321237276361305,146,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
2.15968940651184,-0.6232497314664762,-1.8454260681810577,0.05104975521889771,-0.18018369829073783,0.269656933925209,-0.7838936744203479,-1.1143795308969526,0.6974779668072845,0.9301688508209462,-0.7181910351334739,0.9068494745367022,-0.8087983571262514,95,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0
-1.6387366365991645,-0.10338366394758253,0.4700913836686416,0.25538206753581194,0.7750191375779959,-0.8219251777625105,1.0545061248769034,-0.7520582354931532,0.8760207625227555,-1.6095196390951878,0.4059816751610439,1.7499051540979753,0.7059543226074448,104,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
