Timestamp,Shift,Machine_Type,Material_Grade,Day_of_Week,Injection_Temperature,Injection_Pressure,Cycle_Time,Cooling_Time,Material_Viscosity,Ambient_Temperature,Machine_Age,Operator_Experience,Maintenance_Hours,Machine_Utilization,Temperature_Pressure_Ratio,Total_Cycle_Time,Efficiency_Score,Parts_Per_Hour
2023-01-01 00:00:00,Night,Type_C,Grade_2,Saturday,211.50296026301393,100.40353313193371,33.166755763059065,11.307278597099756,53.52473624796565,24.540696872576966,14,24,4.724089787597969,0.7166472163213181,2.0330693226656855,40.031588602114745,0.9161528431275421,104
2023-01-01 01:00:00,Morning,Type_C,Grade_1,Saturday,202.79842660997608,96.8440511527831,27.103873142713752,10.855544384585464,56.435460518952375,22.749042909758586,7,4,4.036239401624483,0.7007582649495726,1.8790751245538395,38.91530005277937,0.9384273902103215,110
2023-01-01 02:00:00,Night,Type_C,Grade_1,Thursday,185.22671959093861,101.41394348241839,29.227089538488148,9.03490032926342,49.77362596266158,24.502909260974448,13,26,7.577054329570032,0.7303453173755285,1.9144307799826272,37.548356462636555,0.8655467406822169,81
2023-01-01 03:00:00,Night,Type_C,Grade_3,Sunday,202.57760882860111,98.5464462832339,31.813131521367403,10.359078297343155,44.77801719065548,25.461884154813376,8,24,5.174488199487736,0.9376752100492054,1.912745662322449,40.869772680727166,0.9272903443905852,95
2023-01-01 04:00:00,Morning,Type_A,Grade_1,Wednesday,214.81238548588803,103.48532637007193,27.433709983107487,11.9584743011315,55.27018155425444,25.144564860464293,5,26,5.834262757889537,0.9884293937150012,2.2169270735125686,41.669834694853506,0.848981555811184,141
2023-01-01 05:00:00,Morning,Type_C,Grade_3,Sunday,195.21422555378533,98.80416809965482,32.63456561555517,8.181446465313297,53.50281837446688,25.660626109263763,12,14,5.521848372025881,0.8280898597843658,1.983431867108863,37.30310450193778,0.8465684143304409,85
2023-01-01 06:00:00,Night,Type_B,Grade_3,Thursday,205.9805769645291,93.5511720911747,31.78449943150725,9.812341505703799,56.53269792151275,23.947029581985618,13,27,5.186574438560889,0.8538051860349828,1.9933633678228948,42.289329968497476,0.935797218343791,67
2023-01-01 07:00:00,Evening,Type_B,Grade_2,Saturday,191.50613084844096,101.33493492763826,30.543591370264675,11.1623085196682,51.45104559210653,25.635223922867887,14,20,4.772256269256832,0.7440544507220278,1.9922546992733727,39.79729937923238,0.8990649998899577,123
2023-01-01 08:00:00,Night,Type_C,Grade_2,Tuesday,198.6321672503057,101.14701623915717,28.993686191451467,9.884679400212361,47.39701542101554,25.24023162563483,18,4,2.19618429664208,,2.155282932019884,37.488366431515345,0.9298225559802541,145
2023-01-01 09:00:00,Night,Type_C,Grade_2,Saturday,210.89835536450434,94.5943144360117,27.176867689632086,10.809887816973873,52.5844424269779,25.256458767547088,4,28,3.9367787592021792,0.743396470602093,1.8386660598250537,38.3034256110107,0.8511933132421374,67
2023-01-01 10:00:00,Night,Type_B,Grade_3,Sunday,202.19231667754974,103.75268057717653,31.41409178826814,11.409191028599123,51.63164611720791,25.064713105653375,18,14,5.329119213417295,0.883364299359649,1.9940100475685736,38.113514474712446,0.9137574348007788,61
2023-01-01 11:00:00,Night,Type_B,Grade_2,Tuesday,212.89269862715636,103.4911041806774,35.497289868967776,10.232006283148802,47.125631540769824,29.352186420471927,7,26,2.281026761993105,0.9799776002742562,1.8377285949654154,38.14908950380188,0.8843473934435914,121
2023-01-01 12:00:00,Morning,Type_A,Grade_1,Monday,204.2530240422786,95.65009903762545,30.291785071833715,10.50899052085554,50.99319291923703,27.22025248760014,15,4,5.07161839271028,0.7587095617909119,1.7620185717569639,41.139802792885284,0.9134224545006503,146
2023-01-01 13:00:00,Night,Type_B,Grade_1,Friday,222.1873967720084,96.70186849470045,26.3479091785362,10.091870933580202,49.02487055588977,25.590783513857264,6,6,5.661230510864323,0.9293691154171306,1.9265760052308358,41.7276554573771,0.8552671491264017,95
2023-01-01 14:00:00,Evening,Type_B,Grade_3,Saturday,184.3508663078073,99.28996193485237,30.915032980253496,10.297805881970318,53.7176892249184,23.399585446303565,16,9,5.833278617103433,0.7070507268454972,2.04121638465035,43.3982911630464,0.9359356830933335,104
2023-01-01 15:00:00,Morning,Type_C,Grade_3,Thursday,197.82806649939036,96.20573934481182,31.72052594280239,12.102602434896271,52.46003455157717,24.415335000487072,8,21,5.598155247464706,0.8126491723964863,1.920221927392581,38.603555535323004,0.9531265795702984,87
